,r,h,y,g,l,i,v,k,o,m,u,b,x,t,z,f,w,s,a,p,e,n,c,d,final
q52,q69,q0,q0,q57,q65,q61,q127,q0,q0,q0,q116,q5,q0,q109,q0,q50,q137,q81,q53,q0,q38,q0,q10,q26,0
q53,q69,q0,q0,q57,q65,q61,q127,q0,q0,q0,q116,q5,q0,q54,q0,q50,q137,q81,q1,q0,q38,q0,q10,q26,0
q54,q69,q0,q0,q57,q65,q61,q127,q0,q0,q0,q116,q5,q0,q109,q0,q50,q137,q81,q1,q0,q38,q0,q10,q26,1
q55,q56,q0,q0,q57,q65,q61,q127,q0,q0,q0,q116,q5,q0,q109,q0,q50,q137,q81,q1,q0,q38,q0,q10,q26,0
q56,q69,q0,q0,q57,q65,q61,q127,q0,q0,q0,q116,q5,q0,q109,q0,q50,q137,q81,q1,q0,q38,q0,q10,q26,1
q57,q69,q0,q0,q57,q65,q61,q127,q0,q58,q0,q116,q5,q0,q109,q0,q50,q137,q81,q1,q0,q38,q0,q10,q26,0
q58,q69,q0,q0,q57,q65,q61,q127,q0,q0,q0,q116,q5,q0,q59,q0,q50,q137,q81,q1,q0,q38,q0,q10,q26,0
q59,q69,q0,q0,q57,q65,q61,q127,q0,q60,q0,q116,q5,q0,q109,q0,q50,q137,q81,q1,q0,q38,q0,q10,q26,0
q60,q69,q0,q0,q57,q65,q61,q127,q0,q0,q0,q116,q5,q0,q109,q0,q50,q137,q81,q1,q0,q38,q0,q10,q26,1
q61,q69,q0,q0,q57,q65,q61,q127,q0,q0,q0,q116,q5,q0,q109,q0,q62,q137,q81,q1,q0,q38,q63,q10,q26,0
q62,q69,q0,q0,q57,q65,q61,q127,q0,q0,q0,q116,q5,q0,q109,q0,q50,q137,q81,q1,q0,q38,q0,q10,q26,1
q63,q69,q0,q0,q57,q65,q61,q127,q0,q0,q0,q116,q5,q0,q64,q0,q50,q137,q81,q1,q0,q38,q0,q10,q26,0
q64,q69,q0,q0,q57,q65,q61,q127,q0,q0,q0,q116,q5,q0,q109,q0,q50,q137,q81,q1,q0,q38,q0,q10,q26,1
q65,q69,q0,q0,q57,q65,q61,q127,q0,q66,q0,q116,q5,q0,q109,q0,q50,q137,q81,q1,q0,q38,q0,q10,q26,0
q66,q69,q0,q0,q57,q65,q61,q127,q0,q0,q0,q116,q5,q0,q109,q0,q50,q137,q81,q1,q0,q38,q67,q10,q26,0
q67,q69,q0,q0,q68,q65,q61,q127,q0,q0,q0,q116,q5,q0,q109,q0,q50,q137,q81,q1,q0,q38,q0,q10,q26,0
q68,q69,q0,q0,q57,q65,q61,q127,q0,q0,q0,q116,q5,q0,q109,q0,q50,q137,q81,q1,q0,q38,q0,q10,q26,1
q69,q69,q0,q0,q57,q65,q61,q127,q0,q0,q0,q116,q5,q0,q109,q0,q50,q137,q81,q1,q0,q70,q0,q10,q26,0
q70,q69,q0,q0,q71,q65,q61,q127,q0,q0,q0,q116,q5,q0,q77,q0,q50,q137,q81,q1,q0,q38,q0,q10,q26,0
q71,q69,q0,q0,q57,q65,q72,q127,q0,q0,q0,q116,q5,q0,q109,q0,q50,q137,q81,q1,q0,q38,q0,q10,q26,0
q72,q69,q0,q0,q57,q65,q61,q127,q0,q0,q0,q116,q5,q0,q109,q0,q50,q137,q73,q1,q0,q38,q0,q10,q26,0
q73,q69,q0,q0,q57,q65,q61,q127,q0,q0,q0,q116,q5,q0,q74,q0,q50,q137,q81,q1,q0,q38,q0,q10,q26,0
q74,q69,q0,q0,q57,q65,q61,q127,q0,q0,q0,q116,q5,q0,q109,q0,q50,q137,q81,q1,q0,q75,q0,q10,q26,0
q75,q76,q0,q0,q57,q65,q61,q127,q0,q0,q0,q116,q5,q0,q109,q0,q50,q137,q81,q1,q0,q38,q0,q10,q26,0
q76,q69,q0,q0,q57,q65,q61,q127,q0,q0,q0,q116,q5,q0,q109,q0,q50,q137,q81,q1,q0,q38,q0,q10,q26,1
q77,q69,q0,q0,q57,q65,q61,q127,q0,q0,q0,q78,q5,q0,q109,q0,q50,q137,q81,q1,q0,q38,q0,q10,q26,0
q78,q79,q0,q0,q57,q65,q61,q127,q0,q0,q0,q116,q5,q0,q109,q0,q50,q137,q81,q1,q0,q38,q0,q10,q26,0
q79,q69,q0,q0,q57,q65,q61,q127,q0,q0,q0,q116,q5,q0,q109,q0,q50,q137,q81,q1,q0,q38,q80,q10,q26,0
q80,q69,q0,q0,q57,q65,q61,q127,q0,q0,q0,q116,q5,q0,q109,q0,q50,q137,q81,q1,q0,q38,q0,q10,q26,1
q81,q69,q82,q0,q57,q65,q86,q127,q0,q0,q0,q116,q5,q0,q95,q0,q50,q104,q81,q1,q0,q38,q0,q10,q26,0
q82,q69,q0,q0,q57,q65,q61,q127,q0,q83,q0,q116,q5,q0,q109,q0,q50,q137,q81,q1,q0,q38,q0,q10,q26,0
q83,q84,q0,q0,q57,q65,q61,q127,q0,q0,q0,q116,q5,q0,q109,q0,q50,q137,q81,q1,q0,q38,q0,q10,q26,0
q84,q69,q0,q0,q57,q65,q61,q127,q0,q0,q0,q116,q5,q0,q85,q0,q50,q137,q81,q1,q0,q38,q0,q10,q26,0
q85,q69,q0,q0,q57,q65,q61,q127,q0,q0,q0,q116,q5,q0,q109,q0,q50,q137,q81,q1,q0,q38,q0,q10,q26,1
q86,q69,q0,q0,q87,q65,q61,q127,q0,q0,q0,q116,q5,q0,q109,q91,q50,q137,q81,q1,q0,q38,q0,q10,q26,0
q87,q69,q0,q0,q57,q65,q61,q127,q0,q0,q0,q116,q5,q0,q109,q0,q50,q137,q81,q1,q0,q38,q88,q10,q26,0
q88,q69,q0,q0,q57,q65,q61,q127,q0,q0,q0,q116,q5,q0,q109,q0,q50,q137,q81,q1,q0,q89,q0,q10,q26,0
q89,q69,q0,q0,q57,q65,q61,q127,q0,q0,q0,q116,q5,q0,q109,q0,q50,q137,q81,q1,q0,q38,q0,q10,q90,0
q90,q69,q0,q0,q57,q65,q61,q127,q0,q0,q0,q116,q5,q0,q109,q0,q50,q137,q81,q1,q0,q38,q0,q10,q26,1
q91,q69,q0,q0,q57,q65,q61,q127,q0,q0,q0,q116,q5,q0,q109,q0,q50,q137,q81,q1,q0,q92,q0,q10,q26,0
q92,q69,q0,q0,q57,q65,q61,q127,q0,q93,q0,q116,q5,q0,q109,q0,q50,q137,q81,q1,q0,q38,q0,q10,q26,0
q93,q69,q0,q0,q57,q65,q61,q127,q0,q0,q0,q116,q5,q0,q109,q0,q94,q137,q81,q1,q0,q38,q0,q10,q26,0
q94,q69,q0,q0,q57,q65,q61,q127,q0,q0,q0,q116,q5,q0,q109,q0,q50,q137,q81,q1,q0,q38,q0,q10,q26,1
q95,q100,q0,q0,q57,q65,q61,q127,q0,q0,q0,q116,q5,q0,q109,q0,q50,q137,q81,q96,q0,q38,q0,q10,q26,0
q96,q69,q0,q0,q57,q65,q61,q127,q0,q0,q0,q116,q5,q0,q97,q0,q50,q137,q81,q1,q0,q38,q0,q10,q26,0
q97,q69,q0,q0,q57,q65,q98,q127,q0,q0,q0,q116,q5,q0,q109,q0,q50,q137,q81,q1,q0,q38,q0,q10,q26,0
q98,q69,q0,q0,q57,q65,q61,q127,q0,q0,q0,q116,q5,q0,q109,q0,q50,q137,q81,q1,q0,q38,q0,q99,q26,0
q99,q69,q0,q0,q57,q65,q61,q127,q0,q0,q0,q116,q5,q0,q109,q0,q50,q137,q81,q1,q0,q38,q0,q10,q26,1
q100,q69,q0,q0,q57,q65,q61,q127,q0,q0,q0,q101,q5,q0,q109,q0,q50,q137,q81,q1,q0,q38,q0,q10,q26,0
q101,q69,q0,q0,q57,q65,q61,q127,q0,q0,q0,q116,q5,q0,q109,q0,q50,q137,q81,q1,q0,q38,q0,q102,q26,0
q102,q69,q0,q0,q57,q65,q61,q127,q0,q0,q0,q116,q5,q0,q103,q0,q50,q137,q81,q1,q0,q38,q0,q10,q26,0
q103,q69,q0,q0,q57,q65,q61,q127,q0,q0,q0,q116,q5,q0,q109,q0,q50,q137,q81,q1,q0,q38,q0,q10,q26,1
q104,q69,q0,q0,q57,q65,q105,q127,q0,q0,q0,q116,q5,q0,q109,q0,q50,q137,q81,q1,q0,q38,q0,q10,q26,0
q105,q69,q0,q0,q57,q65,q61,q127,q0,q0,q0,q116,q5,q0,q106,q0,q50,q137,q81,q1,q0,q38,q0,q10,q26,0
q106,q69,q0,q0,q57,q65,q61,q127,q0,q0,q0,q116,q5,q0,q109,q0,q50,q137,q81,q1,q0,q38,q0,q107,q26,0
q107,q69,q108,q0,q57,q65,q61,q127,q0,q0,q0,q116,q5,q0,q109,q0,q50,q137,q81,q1,q0,q38,q0,q10,q26,0
q108,q69,q0,q0,q57,q65,q61,q127,q0,q0,q0,q116,q5,q0,q109,q0,q50,q137,q81,q1,q0,q38,q0,q10,q26,1
q109,q69,q0,q110,q57,q65,q61,q127,q0,q0,q0,q116,q5,q0,q109,q0,q50,q137,q81,q1,q0,q38,q0,q10,q26,0
q110,q69,q0,q0,q57,q65,q61,q127,q0,q0,q0,q116,q5,q0,q109,q0,q50,q137,q81,q1,q111,q38,q0,q10,q26,0
q111,q69,q0,q0,q57,q65,q61,q127,q0,q0,q0,q116,q5,q0,q109,q0,q50,q137,q81,q1,q0,q112,q0,q10,q26,0
q112,q69,q0,q0,q57,q65,q61,q127,q0,q0,q0,q116,q5,q0,q109,q0,q50,q137,q81,q1,q0,q38,q0,q10,q113,0
q113,q69,q0,q0,q57,q65,q61,q127,q0,q0,q0,q116,q5,q0,q109,q0,q50,q137,q81,q1,q0,q114,q0,q10,q26,0
q114,q69,q0,q0,q57,q65,q61,q127,q0,q0,q0,q116,q5,q0,q109,q0,q115,q137,q81,q1,q0,q38,q0,q10,q26,0
q115,q69,q0,q0,q57,q65,q61,q127,q0,q0,q0,q116,q5,q0,q109,q0,q50,q137,q81,q1,q0,q38,q0,q10,q26,1
q116,q69,q0,q0,q57,q65,q61,q127,q0,q0,q0,q116,q5,q0,q109,q0,q50,q137,q81,q1,q0,q38,q117,q10,q26,0
q117,q69,q0,q0,q57,q65,q118,q127,q0,q0,q0,q116,q5,q0,q109,q0,q50,q137,q121,q1,q0,q38,q0,q10,q26,0
q118,q69,q0,q0,q57,q65,q61,q127,q0,q119,q0,q116,q5,q0,q109,q0,q50,q137,q81,q1,q0,q38,q0,q10,q26,0
q119,q69,q0,q0,q57,q65,q61,q127,q0,q0,q0,q116,q5,q0,q109,q0,q50,q137,q81,q1,q0,q38,q120,q10,q26,0
