Time,X,Y,Z,R,Theta,Phi,label
1.599996,4.627992,6.910863,5.49589,9.96911,56.544304,56.191002,BUENO
1.6103549,4.661511,6.843825,5.489904,9.935123,56.456127,55.740185,BUENO
1.6200829,4.659117,6.805518,5.462371,9.892419,56.483471,55.604118,BUENO
1.6303068,4.629189,6.785168,5.476737,9.872312,56.306004,55.696186,BUENO
1.640226,4.598064,6.797139,5.434838,9.842802,56.484425,55.922806,BUENO
1.651896,4.605247,6.89171,5.418078,9.902502,56.828812,56.247967,BUENO
1.6599209,4.605247,6.89171,5.418078,9.902502,56.828812,56.247967,BUENO
1.670264,4.617218,6.915652,5.428853,9.930629,56.860619,56.271042,BUENO
1.679824,4.662708,6.949171,5.401319,9.960224,57.160408,56.139442,BUENO
1.6899029,4.683059,6.968324,5.396531,9.980537,57.268326,56.096947,BUENO
1.7001269,4.662708,6.939594,5.419276,9.9633,57.048851,56.102879,BUENO
1.709873,4.590882,6.892907,5.507861,9.946099,56.373898,56.335197,BUENO
1.7199669,4.386178,6.847417,5.485116,9.808781,55.999184,57.358025,BUENO
1.729883,4.371812,6.871359,5.44202,9.795095,56.248894,57.533974,BUENO
1.7402179,4.452018,6.908469,5.385756,9.826179,56.763042,57.201092,BUENO
1.7506659,4.520253,6.934805,5.347449,9.854918,57.138012,56.902843,BUENO
1.7600149,4.63278,6.967127,5.341464,9.926467,57.445389,56.378143,BUENO
1.770679,4.746505,6.969521,5.340267,9.981081,57.65345,55.743671,BUENO
1.779861,4.833893,6.939594,5.401319,10.034876,57.435093,55.140198,BUENO
1.7901189,4.826711,6.860585,5.45878,10.008149,56.945705,54.871998,BUENO
1.799932,4.765658,6.793547,5.448006,9.926961,56.714653,54.950424,BUENO
1.8099949,4.681861,6.743269,5.432444,9.843929,56.505478,55.227695,BUENO
1.8199099,4.613626,6.73489,5.368997,9.770896,56.668056,55.58754,BUENO
1.829888,4.581305,6.740875,5.300763,9.72244,56.961044,55.798771,BUENO
